Fold,MinGain,Sim,Split,Category,Total,Banned
0,50,1,dev,held_out,438,0
0,50,1,test,held_out,438,1
0,50,1,dev,illicit,204362,203953
0,50,1,test,illicit,204330,203946
0,50,1,dev,licit,74632,27277
0,50,1,test,licit,75074,27425
0,50,2,dev,held_out,438,0
0,50,2,test,held_out,438,1
0,50,2,dev,illicit,204362,203953
0,50,2,test,illicit,204330,203946
0,50,2,dev,licit,74632,27093
0,50,2,test,licit,75074,27237
0,50,3,dev,held_out,438,0
0,50,3,test,held_out,438,1
0,50,3,dev,illicit,204362,203953
0,50,3,test,illicit,204330,203946
0,50,3,dev,licit,74632,27148
0,50,3,test,licit,75074,27284
0,100,1,dev,held_out,438,0
0,100,1,test,held_out,438,1
0,100,1,dev,illicit,204362,197158
0,100,1,test,illicit,204330,197089
0,100,1,dev,licit,74632,10646
0,100,1,test,licit,75074,10841
0,100,2,dev,held_out,438,0
0,100,2,test,held_out,438,1
0,100,2,dev,illicit,204362,197158
0,100,2,test,illicit,204330,197089
0,100,2,dev,licit,74632,10646
0,100,2,test,licit,75074,10841
0,100,3,dev,held_out,438,0
0,100,3,test,held_out,438,1
0,100,3,dev,illicit,204362,197158
0,100,3,test,illicit,204330,197089
0,100,3,dev,licit,74632,10646
0,100,3,test,licit,75074,10841
0,200,1,dev,held_out,438,0
0,200,1,test,held_out,438,0
0,200,1,dev,illicit,204362,191684
0,200,1,test,illicit,204330,191609
0,200,1,dev,licit,74632,1472
0,200,1,test,licit,75074,1678
0,200,2,dev,held_out,438,0
0,200,2,test,held_out,438,0
0,200,2,dev,illicit,204362,181171
0,200,2,test,illicit,204330,181245
0,200,2,dev,licit,74632,1148
0,200,2,test,licit,75074,1335
0,200,3,dev,held_out,438,0
0,200,3,test,held_out,438,0
0,200,3,dev,illicit,204362,191684
0,200,3,test,illicit,204330,191609
0,200,3,dev,licit,74632,1472
0,200,3,test,licit,75074,1678
1,50,1,dev,held_out,438,0
1,50,1,test,held_out,438,2
1,50,1,dev,illicit,204380,204039
1,50,1,test,illicit,204297,203927
1,50,1,dev,licit,74613,33460
1,50,1,test,licit,75093,33727
1,50,2,dev,held_out,438,0
1,50,2,test,held_out,438,2
1,50,2,dev,illicit,204380,204014
1,50,2,test,illicit,204297,203900
1,50,2,dev,licit,74613,32757
1,50,2,test,licit,75093,33086
1,50,3,dev,held_out,438,0
1,50,3,test,held_out,438,2
1,50,3,dev,illicit,204380,204037
1,50,3,test,illicit,204297,203924
1,50,3,dev,licit,74613,33024
