Fold,Split,Name,Total,Banned
0,dev,held_out,438,13
0,dev,licit,74632,61043
0,dev,illicit,204362,204353
0,test,held_out,438,18
0,test,licit,75074,61349
0,test,illicit,204330,204323
1,dev,held_out,438,14
1,dev,licit,74613,60811
1,dev,illicit,204380,204371
1,test,held_out,438,18
1,test,licit,75093,61186
1,test,illicit,204297,204289
2,dev,held_out,438,18
2,dev,licit,74620,60330
2,dev,illicit,204354,204345
2,test,held_out,438,12
2,test,licit,75089,60761
2,test,illicit,204320,204312
3,dev,held_out,438,15
3,dev,licit,74623,62377
3,dev,illicit,204353,204346
3,test,held_out,438,24
3,test,licit,75079,62648
3,test,illicit,204330,204322
4,dev,held_out,438,13
4,dev,licit,75103,61432
4,dev,illicit,204313,204305
4,test,held_out,438,22
4,test,licit,74595,61087
4,test,illicit,204372,204364
